Издатель,Количество игр,Средняя цена,Средние владельцы,Средний CCU,Суммарный доход (оценка),Средний метаскор,Средняя доля положительных отзывов
Caos Creations,1,,35000.0,2.0,0.0,,0.0
Carbon Studio,1,,10000.0,1.0,0.0,,0.0
"Catoptric Games, IndieArk",1,82.0,10000.0,0.0,820000.0,,0.75
Catpix Studios,1,,10000.0,0.0,0.0,,0.0
Catstudio,1,,10000.0,1.0,0.0,,0.2
Caz Game Design,1,,10000.0,0.0,0.0,,0.5263
Celeritas Games,1,320.0,10000.0,0.0,3200000.0,,0.6849
Ceruk,1,,10000.0,0.0,0.0,,0.0
Chad R. Banks,1,,35000.0,0.0,0.0,,0.0
Channel 4,1,129.0,10000.0,0.0,1290000.0,,0.0
Chaosmonger Studio,1,61.0,10000.0,0.0,610000.0,,1.0
Cherry Bloom,1,259.0,10000.0,0.0,2590000.0,,1.0
Choice of Games,1,,10000.0,0.0,0.0,,0.0
Chongming Studio,1,,10000.0,0.0,0.0,,0.0
Chris Folea,1,,10000.0,1.0,0.0,,0.0
Christopher Cinq-Mars Jarvis,1,,10000.0,0.0,0.0,,0.0
Christopher Yabsley,1,200.0,10000.0,0.0,2000000.0,,0.8
Cleardot Games,1,,10000.0,0.0,0.0,,0.9091
Clever Plays,1,,10000.0,0.0,0.0,,0.0
Cloak and Dagger Games,1,,10000.0,0.0,0.0,,1.0
Clock Wizard Games,1,,35000.0,1.0,0.0,52.0,0.6151
Clouded Leopard Entertainment,2,359.0,10000.0,0.0,3590000.0,,0.0
Code Society,1,,10000.0,0.0,0.0,,0.0
Codename Entertainment Inc.,2,,10000.0,0.0,0.0,,1.0
Coffee Puck Games,1,200.0,35000.0,0.0,7000000.0,,1.0
"Cold Iron Studios, Focus Entertainment",1,159.0,10000.0,0.0,1590000.0,,0.875
Complex Plane,1,,10000.0,0.0,0.0,,0.0
Con Artist Games,1,,350000.0,0.0,0.0,,0.7207
Coreloop,1,,10000.0,0.0,0.0,,0.0
Corrosive Studios LLC,1,,10000.0,0.0,0.0,,0.5
Cory Green,1,259.0,10000.0,0.0,2590000.0,,0.0
Cotton Game,1,,10000.0,0.0,0.0,,0.0
Covid Cowboys,1,,10000.0,0.0,0.0,,0.0
Cowleyfornia Studios ,1,133.0,10000.0,0.0,1330000.0,,0.8571
Crawly Games,1,,10000.0,0.0,0.0,,1.0
CrazySky3D,1,385.0,10000.0,0.0,3850000.0,,0.5862
Crew Lab,1,42.0,10000.0,0.0,420000.0,,0.8884
Critical Charm,1,259.0,10000.0,0.0,2590000.0,,1.0
Crying Cat Games,1,,10000.0,0.0,0.0,,0.0
Crystal Bat Studio,1,,10000.0,0.0,0.0,,0.8846
Cubic Pie Live,1,,10000.0,0.0,0.0,,1.0
Cute Hannah's Games,1,82.0,10000.0,0.0,820000.0,,0.0
D&D Dream,1,385.0,10000.0,0.0,3850000.0,,0.0
D-Pad Studio,1,,10000.0,0.0,0.0,,1.0
D3 PUBLISHER,1,42.0,10000.0,0.0,420000.0,,0.0
D4 Laboratory,1,133.0,10000.0,0.0,1330000.0,,0.8235
DTP Entertainment,1,,10000.0,0.0,0.0,,0.0
DYSTANT Games,1,259.0,10000.0,0.0,2590000.0,,0.0
Daedalic Entertainment,1,,10000.0,5.0,0.0,85.0,1.0
David Mulder,1,42.0,10000.0,0.0,420000.0,,1.0
Dawnblaze Entertainment,1,30.0,35000.0,0.0,1050000.0,,0.8424
Daybreak Game Company,1,,10000.0,0.0,0.0,,1.0
"Dear Villagers, OKJOY",1,,10000.0,0.0,0.0,,0.7308
Decoder,1,129.0,10000.0,0.0,1290000.0,,0.6
Deep Silver,1,,10000.0,0.0,0.0,,0.7273
Dennis M. Heine,1,,10000.0,0.0,0.0,,0.0
Devolver Digital Films,1,,10000.0,0.0,0.0,,0.95
Dieselmine,2,415.0,10000.0,2.5,4150000.0,,0.6489499999999999
DigiPen Institute of Technology,1,,35000.0,0.0,0.0,,0.0
Digital Monster Collective,1,,35000.0,0.0,0.0,,0.0
Digital Tribe,1,289.0,350000.0,19.0,101150000.0,,0.7242
Disney Interactive,1,,10000.0,0.0,0.0,,0.0
Distribber,1,,10000.0,0.0,0.0,,0.0
Divine Light Games,1,82.0,10000.0,0.0,820000.0,,0.4444
"Dolphin Horizon Games, Inc.",1,,10000.0,0.0,0.0,,0.0
Doombrowski,1,,10000.0,0.0,0.0,,0.0
Dovetail Games,1,,10000.0,0.0,0.0,,0.3333
