Издатель,Количество игр,Средняя цена,Средние владельцы,Средний CCU,Суммарный доход (оценка),Средний метаскор,Средняя доля положительных отзывов
PRODUKTIVKELLER Studios UG,1,,10000.0,0.0,0.0,,0.0
Panic Art Studios Ltd,1,200.0,10000.0,0.0,2000000.0,,0.6667
Paradox Interactive,1,309.0,10000.0,0.0,3090000.0,,0.7273
Paramount Digital Entertainment,1,,10000.0,1.0,0.0,,0.9231
"Pathea Games, Focus Entertainment, PM Studios, Inc., DMM Games",1,169.0,10000.0,0.0,1690000.0,,0.86
Paul Schneider,1,,35000.0,2.0,0.0,,0.9413
PengJiLin,1,,10000.0,0.0,0.0,,1.0
PerkMandelc,1,,10000.0,0.0,0.0,,0.0
Pernich Media,1,280.0,10000.0,0.0,2800000.0,,0.6875
Peter Manfreda,1,259.0,10000.0,0.0,2590000.0,,0.0
Petr Šimůnek,1,,10000.0,0.0,0.0,,0.0
Phantom Games Studio,1,,10000.0,0.0,0.0,,0.0
PhantomSoft,1,,10000.0,0.0,0.0,,0.0
Pharaoh Hound Games,1,,10000.0,0.0,0.0,,0.0
Phoenix Online Publishing,1,,10000.0,1.0,0.0,,0.0
Phoenixx Inc.,1,360.0,10000.0,1.0,3600000.0,,0.9766
Piece Of Voxel,1,,35000.0,0.0,0.0,,0.5556
Pierre Feuille Studio,1,,10000.0,0.0,0.0,,0.0
Pink Label Games,1,41.0,10000.0,0.0,410000.0,,0.0
PinkChinChin,1,385.0,10000.0,0.0,3850000.0,,0.9032
Pirozhok,1,,10000.0,0.0,0.0,,0.0
Pixel Puzzles,2,89.5,10000.0,0.0,1790000.0,,0.75
Pixel Sprout Studios,1,140.0,10000.0,0.0,1400000.0,,1.0
Placeholder Studios,1,,10000.0,0.0,0.0,,0.0
Planet Games,1,,10000.0,0.0,0.0,,0.0
"Playmeow, ACG creator, Playmeow News",1,,10000.0,0.0,0.0,,0.0
Playtika Ltd.,1,,150000.0,20.0,0.0,,0.0
Plug In Digital,1,,10000.0,0.0,0.0,,0.7778
"Plug In Digital, Dear Villagers",1,,75000.0,0.0,0.0,,0.6923
Poema Games,1,82.0,10000.0,0.0,820000.0,,0.6667
Preapp Partners,1,435.0,10000.0,0.0,4350000.0,,0.5765
Premiere Digital,1,,10000.0,0.0,0.0,,0.0
Prime Bit Games SA,1,,10000.0,0.0,0.0,,1.0
Productions Pluie De Sang,1,,10000.0,0.0,0.0,,0.0
ProjectMoon,1,435.0,10000.0,0.0,4350000.0,,0.9567
Propulsion Studios,1,42.0,10000.0,0.0,420000.0,,0.0
Przestraszeni,1,,10000.0,0.0,0.0,,0.8
PsychoFlux Entertainment,1,,10000.0,1.0,0.0,,0.0
Punky Unicorn,1,,10000.0,0.0,0.0,,0.0
Puuba,1,,10000.0,0.0,0.0,,0.0
Pyramid Lab,1,,10000.0,0.0,0.0,,0.0
Quantic Dream,1,1499.0,1500000.0,210.0,2248500000.0,76.0,0.8765
Quantum Phoenix Bucharest,1,189.0,75000.0,0.0,14175000.0,,0.5217
Queenfish Games,1,,10000.0,0.0,0.0,,0.0
Quiet River,1,82.0,350000.0,2.0,28700000.0,,0.9691
RC UNITECH,1,,10000.0,0.0,0.0,,0.0
RLTY CHK,1,129.0,10000.0,0.0,1290000.0,,0.5556
RPGScenery,1,82.0,10000.0,0.0,820000.0,,0.0
RPGuille,1,280.0,10000.0,0.0,2800000.0,,0.0
Rablo Games,1,360.0,35000.0,0.0,12600000.0,,0.8655
"Rablo Games, Gamersky Games",1,,10000.0,1.0,0.0,,0.875
Rafael Ben-Ari,1,,75000.0,1.0,0.0,,0.9842
Rahul Martin,1,133.0,10000.0,0.0,1330000.0,,0.0
Rat King Entertainment,1,,10000.0,0.0,0.0,,1.0
Raw Orange Studios Limited,1,,10000.0,0.0,0.0,,0.0
Rebellion,2,,10000.0,0.0,0.0,,0.7857000000000001
Redhead Game Society,1,125.0,10000.0,0.0,1250000.0,,0.0
Reforged Group,1,,10000.0,0.0,0.0,,0.0
Reframe Games,1,,10000.0,0.0,0.0,,1.0
"Rejected Games, PlayWay S.A.",1,385.0,10000.0,0.0,3850000.0,,0.6024
Rekim,1,,35000.0,4.0,0.0,,0.8214
"Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)",1,589.0,350000.0,0.0,206150000.0,,0.7474
Repair Garage Japan,1,82.0,10000.0,0.0,820000.0,,0.0
Resaca Games,1,,10000.0,0.0,0.0,,0.0
RevolutionGT,1,61.0,10000.0,0.0,610000.0,,0.0
RewindApp,1,,10000.0,0.0,0.0,,0.3333
Richard Haraším,1,,10000.0,0.0,0.0,,0.0
Rinostar Games,1,,10000.0,0.0,0.0,,0.0
"Riverview Artificial Intelligence, LLC",1,1600.0,10000.0,0.0,16000000.0,,0.3333
Roache-Turner Films,1,,10000.0,0.0,0.0,,0.0
Rocket Tiger Studios,1,,10000.0,0.0,0.0,,0.0
Rockstar Games,1,,350000.0,3.0,0.0,81.0,0.9002
Roencia Game Creators,1,,10000.0,0.0,0.0,,0.4706
Ronimo Games,1,,10000.0,0.0,0.0,,0.8941
Rusimitu,1,,10000.0,0.0,0.0,,0.0
Rusty Lake,1,240.0,1500000.0,51.0,360000000.0,,0.9465
SA Industry,4,297.5,51250.0,0.25,44975000.0,,0.58925
SCP: Escape Together development team,1,,350000.0,8.0,0.0,,0.0
SEGA,2,,10000.0,0.0,0.0,,0.24285
"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",1,219.0,10000.0,0.0,2190000.0,,0.9
SEKTOR GAMES,1,,10000.0,0.0,0.0,,0.5714
SMG Studio,1,240.0,10000.0,0.0,2400000.0,,1.0
SMT Ent.,1,,10000.0,0.0,0.0,,0.0
SOMATIC,1,,10000.0,0.0,0.0,,0.7391
SP-time,1,,35000.0,1.0,0.0,,0.8462
SPIDERWORKS,1,205.0,10000.0,0.0,2050000.0,,1.0
Salmi Games,1,,10000.0,0.0,0.0,,0.8438
Samobee Games,1,,150000.0,1.0,0.0,,0.0
SandorHQ,1,,10000.0,0.0,0.0,,0.0
Santa Ragione,1,550.0,75000.0,2.0,41250000.0,73.0,0.6565
"Saturn VR , NipsApp Gaming Software Pvt Ltd",1,,10000.0,0.0,0.0,,0.0
Saucy Melon,1,,10000.0,0.0,0.0,,1.0
ScTiger,1,,10000.0,0.0,0.0,,1.0
Screaming Bee,1,61.0,10000.0,0.0,610000.0,,0.0
Scumhead,1,259.0,75000.0,0.0,19425000.0,,0.9126
Secret Labo,1,299.0,35000.0,3.0,10465000.0,,0.7648
Self,1,200.0,10000.0,0.0,2000000.0,,0.5714
Seven Sails Games,1,280.0,10000.0,0.0,2800000.0,,1.0
Shanghai SilverMoon Network Technology Co.Ltd,1,,10000.0,0.0,0.0,,1.0
Shiba Neko,1,,10000.0,0.0,0.0,,0.7692
Shiravune,1,880.0,10000.0,0.0,8800000.0,,0.7273
Shockk,1,,10000.0,0.0,0.0,,1.0
ShuiMUMUdeMa,1,,10000.0,0.0,0.0,,1.0
Signo & Arte,1,82.0,10000.0,0.0,820000.0,,0.8571
Silver Forged,1,30.0,10000.0,0.0,300000.0,,1.0
Silver Hawk,1,,10000.0,0.0,0.0,,0.0
Simon Says: Play!,1,,10000.0,1.0,0.0,,0.0
Single Step Games,1,,10000.0,0.0,0.0,,0.7778
Ska Studios,1,,75000.0,12.0,0.0,,0.6272
Skunkape Interactive,1,,10000.0,0.0,0.0,,0.6818
Slay Buherman,1,50.0,10000.0,0.0,500000.0,,0.0
SlimeSmile,1,,10000.0,0.0,0.0,,0.0
Slitherine Ltd.,3,731.6666666666666,10000.0,0.0,21950000.0,,0.7690666666666667
Smiles,1,160.33,10000.0,0.0,1603300.0000000002,,1.0
Snapbreak,1,200.0,10000.0,2.0,2000000.0,,0.8819
Softwaves Dist.,1,82.0,10000.0,0.0,820000.0,,0.0
Soldak Entertainment,2,,22500.0,2.5,0.0,76.0,0.43275
Solvendo Games,1,,10000.0,0.0,0.0,,0.0
Sometimes You,1,200.0,350000.0,39.0,70000000.0,,0.7368
Sons of Earth Games,1,,10000.0,0.0,0.0,,0.7143
Spacezero Interactive,1,240.0,10000.0,0.0,2400000.0,,0.8976
Spectragate,1,,10000.0,1.0,0.0,,0.0
Spellnode Interactive,1,82.0,10000.0,0.0,820000.0,,1.0
Spin City,1,,10000.0,0.0,0.0,,0.0
Split Light Studio,1,102.0,75000.0,0.0,7650000.0,,0.7389
Spongey Kitty,1,42.0,10000.0,0.0,420000.0,,0.8644
Square Enix,2,,22500.0,7.0,0.0,,0.9617
Stanley Lam,1,42.0,10000.0,0.0,420000.0,,0.0
Startale Games,1,133.0,10000.0,0.0,1330000.0,,0.0
Steamberry Studio,1,710.0,10000.0,0.0,7100000.0,,0.9416
Stegalosaurus Game Development,1,,10000.0,0.0,0.0,,0.0
Stephen Walton,1,,35000.0,0.0,0.0,,0.0
Stratecade LLC,1,165.0,350000.0,3.0,57750000.0,,0.8496
Strategy First,2,133.0,42500.0,0.0,9975000.0,,0.4236
Submersivo Game Studio,1,,150000.0,0.0,0.0,,0.8041
Suits & Sandals,1,,10000.0,0.0,0.0,,0.0
Sunlight Games,1,,150000.0,0.0,0.0,,0.1187
"T-Time Technology CO., LTD.",2,352.5,42500.0,6.0,27850000.0,,0.8064
THQ Nordic,3,259.0,18333.333333333332,0.3333333333333333,9405000.0,66.0,0.5722666666666667
TITANIUM ARMOR,1,82.0,10000.0,0.0,820000.0,,0.6667
TM2050 dev,1,,10000.0,0.0,0.0,,0.0
Tactic Forge,1,125.0,10000.0,0.0,1250000.0,,0.0
TailsUp4Tyranno,1,259.0,10000.0,0.0,2590000.0,,0.7375
Take Toad,1,,10000.0,0.0,0.0,,0.0
Tanks2.DE,1,,10000.0,0.0,0.0,,0.0
Tansion,1,82.0,10000.0,0.0,820000.0,,0.0
TapBlaze,1,240.0,10000.0,0.0,2400000.0,,0.0
Tate Multimedia,1,649.0,350000.0,1.0,227150000.0,58.0,0.8489
Tauron Glyph,1,259.0,10000.0,0.0,2590000.0,,0.75
Team Crackin',1,,10000.0,0.0,0.0,,0.0
Team Irradiated,1,550.0,10000.0,0.0,5500000.0,,0.5714
"Team RUN, TyGAMES",1,280.0,10000.0,0.0,2800000.0,,0.897
TechnoBrain,1,,10000.0,0.0,0.0,,0.875
Tegridy Made Games,1,82.0,10000.0,0.0,820000.0,,0.3333
Tensei Games,1,520.0,10000.0,0.0,5200000.0,,0.8333
Terry Brash,1,,10000.0,0.0,0.0,,0.0
The Breakers Entertainment,1,,10000.0,0.0,0.0,,0.0
"The Lo-Fi Apocalypse, Inc.",1,195.0,75000.0,0.0,14625000.0,,0.8302
The Quantum Astrophysicists Guild,1,,10000.0,0.0,0.0,,0.0
The Revera Corporation,1,30.0,10000.0,0.0,300000.0,,0.625
TheGamePublisher.com,1,320.0,10000.0,0.0,3200000.0,,0.875
Theory Games,1,,10000.0,0.0,0.0,,0.0
Thetis Games,2,,10000.0,0.0,0.0,,0.0
Thinkofname,1,259.0,10000.0,0.0,2590000.0,,0.4667
Three Guys Game Studio,1,79.0,75000.0,0.0,5925000.0,,0.8592
TigerQiuQiu,12,31.0,10000.0,0.0,2480000.0,,0.0
Tilenauts,1,,10000.0,0.0,0.0,,0.3333
Time Break Studios,1,,10000.0,0.0,0.0,,0.0
TinyFox Games,1,82.0,10000.0,0.0,820000.0,,0.0
Titan Deep Space Company,1,133.0,10000.0,0.0,1330000.0,,1.0
ToastieLabs,1,51.0,10000.0,0.0,510000.0,,0.9
Tobias Gaertner,1,,10000.0,0.0,0.0,,0.0
Tomas Daugela,1,,10000.0,0.0,0.0,,1.0
Tommy Galletta,1,,10000.0,0.0,0.0,,1.0
TreStraal,1,,10000.0,0.0,0.0,,0.5
Treexy,1,,35000.0,6.0,0.0,,0.7384
Trilix34,1,,10000.0,0.0,0.0,,0.3333
Tristan Barona,1,259.0,10000.0,0.0,2590000.0,,0.8333
UP DEVELOPMENT LTD.,1,460.0,10000.0,0.0,4600000.0,,1.0
USC Games,1,,75000.0,1.0,0.0,,0.0
Ubisoft,3,,506666.6666666667,129.33333333333334,0.0,,0.264
Ubisoft SF,1,,10000.0,0.0,0.0,,0.0
Ughorse Studio,1,259.0,10000.0,0.0,2590000.0,,0.9
Uintani,1,,10000.0,0.0,0.0,,0.8095
Ulrike Donovan,1,102.0,10000.0,0.0,1020000.0,,0.0
Umix Studios,1,385.0,10000.0,0.0,3850000.0,,0.7327
Undergroundies,1,169.0,10000.0,0.0,1690000.0,,0.7778
UngAalborg,1,,10000.0,0.0,0.0,,0.0
Unstoppable Studio,1,360.0,10000.0,0.0,3600000.0,,1.0
Uruca Game Studio,1,82.0,10000.0,0.0,820000.0,,0.0
VIZ Media,1,,10000.0,0.0,0.0,,0.0
VOX design,1,,10000.0,0.0,0.0,,0.0
VRA-Games,1,,10000.0,0.0,0.0,,0.0
VRLab Academy,1,,10000.0,0.0,0.0,,0.5
Vae Victis Games,1,,350000.0,0.0,0.0,,0.5231
Valkyrie Initiative,1,290.0,10000.0,3.0,2900000.0,,0.9238
Valve,3,,506666.6666666667,11.666666666666666,0.0,,0.3089
Vampire Squid,1,285.0,75000.0,0.0,21375000.0,,0.8692
Varlov981,1,,10000.0,0.0,0.0,,0.0
Vernacular Games LLC,1,,10000.0,0.0,0.0,,0.0
Vidas Salavejus,1,,10000.0,0.0,0.0,,0.8148
Vigilant Addiction Studios,1,,10000.0,0.0,0.0,,0.0
Vipera Games sp. z o.o.,1,449.0,10000.0,0.0,4490000.0,,0.3333
Virhex,1,195.0,10000.0,0.0,1950000.0,,0.6667
Viridino Studios,1,165.0,35000.0,1.0,5775000.0,,0.9259
VirtualRehabART4Health,1,82.0,10000.0,0.0,820000.0,,0.6667
Vision Reelle,1,,35000.0,1.0,0.0,,0.9176
Wales Interactive,1,,35000.0,2.0,0.0,,0.7812
WanadevStudio,1,880.0,10000.0,0.0,8800000.0,,0.8056
Wankil Studio,1,61.0,10000.0,0.0,610000.0,,0.0
Warfare Studios,1,,35000.0,0.0,0.0,,0.5217
WaveParadigm LLC,1,,10000.0,0.0,0.0,,1.0
Westerngamer,1,,10000.0,0.0,0.0,,0.0
Wheeler Studio,1,259.0,10000.0,0.0,2590000.0,,0.6667
WinterCell Studios,1,,10000.0,2.0,0.0,,0.0
Wired Productions,3,175.0,10000.0,0.0,1750000.0,,1.0
"Wireless Marvels, Inc.",1,30.0,10000.0,0.0,300000.0,,0.6667
Witch thick tits,1,,10000.0,0.0,0.0,,0.6364
Witching Hour Entertainment LLC,1,385.0,10000.0,0.0,3850000.0,,0.75
Wu Zhang,1,61.0,10000.0,0.0,610000.0,,1.0
XMR,1,,10000.0,0.0,0.0,,1.0
"XSEED Games, Marvelous USA, Inc.",3,117.33333333333333,56666.666666666664,0.0,29980000.0,,0.9668333333333333
"XSEED Games, Marvelous USA, Inc., Marvelous",1,515.0,350000.0,3.0,180250000.0,,0.8114
Xaxis Games Limited,1,,10000.0,0.0,0.0,,0.0
Xbox Game Studio,1,,10000.0,0.0,0.0,,0.9286
Xia Start,1,,10000.0,0.0,0.0,,1.0
YIBAILI SOFTWARE,1,259.0,10000.0,0.0,2590000.0,,0.3468
Yai Gameworks,1,,10000.0,0.0,0.0,,0.6792
Yocat Games,1,350.0,10000.0,0.0,3500000.0,,0.0
Yogscast Games,1,,10000.0,0.0,0.0,,0.0
Yramash Games,1,,10000.0,0.0,0.0,,0.0
Yuksel Kagan,1,,10000.0,0.0,0.0,,0.0
ZOMG Clan Games,1,200.0,10000.0,0.0,2000000.0,,0.0
Zero Directive,1,,35000.0,0.0,0.0,,0.8667
Zeus Game Studio,1,,10000.0,0.0,0.0,,1.0
Ziggurat,1,,10000.0,0.0,0.0,,0.75
[redacted],1,,10000.0,0.0,0.0,,0.4545
albertnez,1,,75000.0,0.0,0.0,,0.0
anyfreegame,1,195.0,10000.0,0.0,1950000.0,,0.0
beans rolls,1,,35000.0,0.0,0.0,,0.5
bilge,1,125.0,35000.0,0.0,4375000.0,,0.863
boxedworks,1,200.0,10000.0,0.0,2000000.0,,0.9429
bras_casse,1,133.0,10000.0,0.0,1330000.0,,0.0
busy bear,1,200.0,75000.0,6.0,15000000.0,,0.6929
chushengjia,1,195.0,10000.0,0.0,1950000.0,,0.0
deadworld games,1,385.0,10000.0,0.0,3850000.0,,0.7895
devotid Media,1,349.0,10000.0,0.0,3490000.0,,0.6323
dotcopycat,1,,10000.0,1.0,0.0,,0.0
dustinaux,1,,35000.0,12.0,0.0,,0.8976
eSolutions Nordic AB,2,200.0,35000.0,0.0,7000000.0,,1.0
echomune,1,,10000.0,0.0,0.0,,0.5
eigoMANGA,1,102.0,10000.0,0.0,1020000.0,,0.3333
gamigo AG,1,,10000.0,0.0,0.0,,0.0
hek.dev,1,,10000.0,0.0,0.0,,0.0
hublab,1,385.0,10000.0,0.0,3850000.0,,1.0
idk?,1,,10000.0,0.0,0.0,,0.0
"imissmyfriends.studio, Wholesome Games Presents",1,,10000.0,0.0,0.0,,0.9608
imos AG,1,,10000.0,0.0,0.0,,0.0
indie_games_studio,1,,35000.0,0.0,0.0,,0.69
jitensyasougyou,1,,10000.0,0.0,0.0,,0.0
mNosGaming,1,,10000.0,0.0,0.0,,1.0
mc2_games,1,175.0,10000.0,0.0,1750000.0,,0.8571
mc2games,1,,10000.0,1.0,0.0,,0.8621
metalex,1,,10000.0,0.0,0.0,,0.0
nonononono,1,,10000.0,0.0,0.0,,0.7579
okyakusama,1,133.0,10000.0,0.0,1330000.0,,0.3529
orangutan matter,1,520.0,10000.0,0.0,5200000.0,,0.8718
pencil,1,385.0,10000.0,0.0,3850000.0,,0.0
pickysource,1,420.0,35000.0,0.0,14700000.0,,0.7586
platypurplestudios,1,,10000.0,0.0,0.0,,0.0
punkfruit,1,,10000.0,0.0,0.0,,0.6667
"room6, yokaze",1,245.0,10000.0,0.0,2450000.0,,1.0
secret industries,1,,10000.0,0.0,0.0,,0.0
smartphone-games,1,,10000.0,0.0,0.0,,0.0
snow in the library,1,,10000.0,0.0,0.0,,0.0
starlit studio,1,125.0,10000.0,0.0,1250000.0,,0.6667
teodlegames,1,61.0,10000.0,0.0,610000.0,,1.0
tesakiza,1,,10000.0,0.0,0.0,,0.0
tinyBuild,2,,825000.0,48.5,0.0,,0.8278000000000001
vemu games,1,,10000.0,0.0,0.0,,0.9437
xisgame,1,61.0,10000.0,0.0,610000.0,,1.0
yjwGame,1,,10000.0,0.0,0.0,,0.4118
つばさ,1,,10000.0,0.0,0.0,,0.0
とぶ,1,,10000.0,0.0,0.0,,0.0
よるのあとち,1,,10000.0,0.0,0.0,,0.0
哈视奇科技,1,249.0,150000.0,0.0,37350000.0,,0.733
小小游戏,1,,10000.0,0.0,0.0,,1.0
有点意思,1,,10000.0,0.0,0.0,,0.3333
李晟艺,1,,10000.0,0.0,0.0,,0.0
游力卡工作室（Yooreka Studio）,1,,10000.0,0.0,0.0,,0.0
真爱粉,1,154.0,10000.0,0.0,1540000.0,,0.6
西安魔幻宝贝网络科技有限公司,1,,10000.0,0.0,0.0,,0.0
跪求愿望,1,90.0,10000.0,0.0,900000.0,,0.8929
闪金游戏,1,154.0,10000.0,2.0,1540000.0,,0.878
