Разработчик,Количество игр,Средняя цена,Средние владельцы,Средний CCU,Суммарный доход (оценка),Средний метаскор
"Dominik Konečný, Jan Tomáš",1,133.0,10000.0,0.0,1330000.0,
Doombrowski,1,,10000.0,0.0,0.0,
Dovetail Games,2,199.0,10000.0,0.0,1990000.0,
Drakkar Game Studio,1,,10000.0,0.0,0.0,
Draumara,1,,10000.0,0.0,0.0,
"Dreadlocks Mobile, Silicon Jelly",1,,10000.0,4.0,0.0,
Dreaming Door Studios,1,,10000.0,1.0,0.0,
DriftyGames,1,125.0,10000.0,0.0,1250000.0,
E-Crew,1,,10000.0,0.0,0.0,
E-FunSoft  Games,1,320.0,35000.0,0.0,11200000.0,
EGC Games,2,82.0,10000.0,0.0,820000.0,
EYEFRONT,1,99.0,10000.0,0.0,990000.0,
Earlgrey,1,139.0,10000.0,0.0,1390000.0,
Easy game,1,,75000.0,0.0,0.0,
EasyWays Team,1,59.0,10000.0,0.0,590000.0,
Edelweiss,1,189.0,150000.0,0.0,28350000.0,
Edge of Reality,1,,7500000.0,1.0,0.0,72.0
Eggcorn Games,1,,10000.0,0.0,0.0,
Eldin Turulja,1,,150000.0,45.0,0.0,
EleFun Games,1,710.0,10000.0,0.0,7100000.0,
Element Studio,1,199.0,75000.0,2.0,14925000.0,
Elephant Games,1,710.0,10000.0,1.0,7100000.0,
Elraim Studio,1,280.0,10000.0,0.0,2800000.0,
Emperium Team,1,30.0,75000.0,0.0,2250000.0,
Endless Entertainment,1,289.0,10000.0,0.0,2890000.0,
Enigmatic Network,1,600.0,10000.0,0.0,6000000.0,
Enoops,1,30.0,10000.0,0.0,300000.0,
Epic Llama Games,1,29.0,10000.0,0.0,290000.0,
Epic Tech Labs LLC,1,,10000.0,0.0,0.0,
Eso,1,680.0,10000.0,0.0,6800000.0,
Ethan Goodchild,1,82.0,10000.0,0.0,820000.0,
Eugen Systems,2,,10000.0,0.0,0.0,
Exe Create Inc.,1,449.0,10000.0,0.0,4490000.0,
FEED,1,359.0,35000.0,0.0,12565000.0,
FFool Studio,1,,10000.0,1.0,0.0,
FIVE-BN GAMES,1,,350000.0,42.0,0.0,
FURYU Corporation,1,30.0,10000.0,0.0,300000.0,
Fasaria World,1,,10000.0,0.0,0.0,
Filmanchor LLC,1,,10000.0,0.0,0.0,
FireRing Studio,1,82.0,10000.0,0.0,820000.0,
Firebelley,1,82.0,10000.0,0.0,820000.0,
First Games Interactive,1,,35000.0,0.0,0.0,
Fishing Planet LLC,2,,10000.0,0.0,0.0,
Flashback Games,2,547.5,10000.0,0.0,10950000.0,
"Flashback Games, The Lordz Games Studio",1,1100.0,10000.0,0.0,11000000.0,
Flix Interactive,1,,10000.0,0.0,0.0,
Forever Entertainment S. A.,1,,75000.0,2.0,0.0,
"Forward Development, Ltd.",1,,10000.0,0.0,0.0,
Freejam,1,,10000.0,0.0,0.0,
"Frontier Developments, Aspyr (Mac)",1,,10000.0,0.0,0.0,
Frontwing,1,,10000.0,0.0,0.0,
Frostknight Games,1,61.0,10000.0,0.0,610000.0,
FunDream Games,1,,10000.0,0.0,0.0,
FurGoldGames,1,133.0,10000.0,0.0,1330000.0,
FutureCake,1,,10000.0,0.0,0.0,
Futuremark,1,,10000.0,0.0,0.0,
Futuristic,1,,10000.0,0.0,0.0,
GAME Games,1,,10000.0,0.0,0.0,
GGaming,1,42.0,10000.0,0.0,420000.0,
GJ Arts,1,42.0,10000.0,0.0,420000.0,
GLStudios,1,42.0,10000.0,0.0,420000.0,
GTGD,1,240.0,10000.0,0.0,2400000.0,
GameLab UngAalborg,1,,10000.0,0.0,0.0,
Gamecraft Studios,1,,35000.0,54.0,0.0,
Gamepainters,1,,10000.0,0.0,0.0,
Games For Pleasure,1,,10000.0,0.0,0.0,
Games Operators,1,,10000.0,0.0,0.0,
Garage51,1,449.0,10000.0,1.0,4490000.0,
Garibaldi Games,1,61.0,10000.0,0.0,610000.0,
Gazillion Entertainment,1,,10000.0,0.0,0.0,
Gearbox Software,2,,755000.0,17.5,0.0,
"Gearbox Software, Aspyr (Mac), Aspyr (Linux)",1,,10000.0,0.0,0.0,
Geeky Mouse,1,,10000.0,1.0,0.0,
GeexGames,1,82.0,35000.0,0.0,2870000.0,
Gemini Stars Games,1,21.0,10000.0,0.0,210000.0,
"GentleDriver, Puzzle L Porject",1,42.0,10000.0,0.0,420000.0,
